,Cities,Countries
228,Dūāb,Afghanistan
229,Dê Nārkhēl Kêlay,Afghanistan
230,Dehī,Afghanistan
231,Deh-e Şalāḩ,Afghanistan
232,Deh-e Now,Afghanistan
233,Dehdādī,Afghanistan
234,Dwah Manḏay,Afghanistan
235,Dasht-e Qal‘ah,Afghanistan
236,Dasht-e Qal‘ah,Afghanistan
237,Dasht-e Archī,Afghanistan
238,Darzāb,Afghanistan
239,Markaz-e Ḩukūmat-e Darwēshān,Afghanistan
240,Darqad,Afghanistan
241,Darāyim,Afghanistan
242,Dāngām,Afghanistan
243,Ḏanḏar,Afghanistan
244,Ḩukūmatī Dahanah-ye Ghōrī,Afghanistan
245,Tsowkêy,Afghanistan
246,Chīras,Afghanistan
247,Chisht-e Sharīf,Afghanistan
248,Chinār,Afghanistan
249,Chimtāl,Afghanistan
250,Charkh,Afghanistan
251,Charikar,Afghanistan
252,Dowr-e Rabāţ,Afghanistan
253,Tsapêraī,Afghanistan
254,Tsamkanī,Afghanistan
255,Chakaray,Afghanistan
256,Chākarān,Afghanistan
257,Chahār Qal‘ah,Afghanistan
258,Chahār Burj,Afghanistan
259,Chāh Āb,Afghanistan
260,Fayrōz Kōh,Afghanistan
261,Bulōlah,Afghanistan
262,Bal Chirāgh,Afghanistan
263,Bāzār-e Tālah,Afghanistan
264,Bāsawul,Afghanistan
265,Būrkah,Afghanistan
266,Barg-e Matāl,Afghanistan
267,Baraki Barak,Afghanistan
268,Banū,Afghanistan
269,Bāmyān,Afghanistan
270,Balkh,Afghanistan
271,Bahārak,Afghanistan
272,Bagrāmī,Afghanistan
273,Baghlān,Afghanistan
274,Ḩukūmatī Azrah,Afghanistan
275,Ārt Khwājah,Afghanistan
276,‘Alāqahdārī Aṯghar,Afghanistan
277,Āsmār,Afghanistan
278,Ashkāsham,Afghanistan
279,Asadābād,Afghanistan
280,Āqchah,Afghanistan
281,Andkhōy,Afghanistan
282,’Unābah,Afghanistan
283,Anār Darah,Afghanistan
284,Amānzī,Afghanistan
285,‘Alāqahdārī-ye Almār,Afghanistan
286,‘Alī Shēr ‘Alāqahdārī,Afghanistan
287,Wuluswālī ‘Alīngār,Afghanistan
288,‘Alī Khēl,Afghanistan
289,‘Alāqahdārī Yōsuf Khēl,Afghanistan
290,‘Alāqahdārī Dīshū,Afghanistan
291,Alah Sāy,Afghanistan
292,Pachīr wa Āgām,Afghanistan
293,Afaki,Afghanistan
294,Adraskan,Afghanistan
295,Āb-e Kamarī,Afghanistan
296,Khadīr,Afghanistan
297,Ghulām ‘Alī,Afghanistan
298,Qarah Bāgh Bāzār,Afghanistan
299,Zargarān,Afghanistan
300,Surkh Bilandī,Afghanistan
301,Pul-e Sangī,Afghanistan
302,Langar,Afghanistan
303,Bāgh-e Maīdān,Afghanistan
304,Ibrāhīm Khān,Afghanistan
305,Qaranghū Tōghaī,Afghanistan
306,Bāzārak,Afghanistan
307,Shērwānī-ye Bālā,Afghanistan
308,Kirāmān,Afghanistan
309,‘Alāqahdārī Saṟōbī,Afghanistan
310,Zerok-Alakadari,Afghanistan
311,Kushkak,Afghanistan
312,Khayr Kōṯ,Afghanistan
313,Chowṉêy,Afghanistan
314,Wuṯahpūr,Afghanistan
315,Karbori,Afghanistan
316,Sulţānpūr-e ‘Ulyā,Afghanistan
317,Babasakhib,Afghanistan
318,Chandal Bā’ī,Afghanistan
319,Dahan-e Jarf,Afghanistan
320,Maydanshakhr,Afghanistan
321,Dū Laīnah,Afghanistan
322,Qaram Qōl,Afghanistan
323,Pul-e Ḩişār,Afghanistan
324,Lab-Sar,Afghanistan
325,Ţāqchah Khānah,Afghanistan
326,March,Afghanistan
327,Zīrakī,Afghanistan
328,Aliabad,Afghanistan
329,Pas Pul,Afghanistan
330,Qal‘ah-ye Na‘īm,Afghanistan
331,Markaz-e Woluswalī-ye Āchīn,Afghanistan
332,Manogay,Afghanistan
333,Stêr Giyān,Afghanistan
334,Sharan,Afghanistan
335,Salām Khēl,Afghanistan
336,Saint John’s,Antigua and Barbuda
337,Potters Village,Antigua and Barbuda
338,Piggotts,Antigua and Barbuda
339,Parham,Antigua and Barbuda
340,Liberta,Antigua and Barbuda
341,Falmouth,Antigua and Barbuda
342,Codrington,Antigua and Barbuda
343,Bolands,Antigua and Barbuda
344,All Saints,Antigua and Barbuda
345,West End Village,Anguilla
346,The Valley,Anguilla
347,The Quarter,Anguilla
348,Farrington,Anguilla
349,Stoney Ground,Anguilla
350,South Hill Village,Anguilla
351,Sandy Ground Village,Anguilla
352,North Side,Anguilla
353,North Hill Village,Anguilla
354,Island Harbour,Anguilla
355,George Hill,Anguilla
356,East End Village,Anguilla
357,Blowing Point Village,Anguilla
358,Sandy Hill,Anguilla
359,Xarrë,Albania
360,Sarandë,Albania
361,Mesopotam,Albania
362,Markat,Albania
363,Livadhja,Albania
364,Konispol,Albania
365,Kakavijë,Albania
366,Finiq,Albania
367,Dhivër,Albania
368,Delvinë,Albania
369,Aliko,Albania
370,Buçimas,Albania
371,Zhepë,Albania
372,Zerqan,Albania
373,Zavalinë,Albania
374,Zapod,Albania
375,Zall-Reç,Albania
376,Zall-Dardhë,Albania
377,Xibër-Murrizë,Albania
378,Vreshtas,Albania
379,Voskopojë,Albania
380,Voskop,Albania
381,Vithkuq,Albania
382,Vithkuq,Albania
383,Vërtop,Albania
384,Vergo,Albania
385,Vendresha e Vogël,Albania
386,Velçan,Albania
387,Ujmisht,Albania
388,Udënisht,Albania
389,Tunjë,Albania
390,Tregan,Albania
391,Trebisht-Muçinë,Albania
392,Trebinjë,Albania
393,Topojan,Albania
394,Tomin,Albania
395,Tepelenë,Albania
396,Surroj,Albania
397,Sult,Albania
398,Sukë,Albania
399,Suç,Albania
400,Stravaj,Albania
401,Steblevë,Albania
402,Sllovë,Albania
403,Skore,Albania
404,Skënderbegas,Albania
405,Shushicë,Albania
406,Shupenzë,Albania
407,Shtiqën,Albania
408,Shishtavec,Albania
409,Shirgjan,Albania
410,Shëngjin,Albania
411,Shënmëri,Albania
412,Selishtë,Albania
413,Saraqinishtë,Albania
414,Rukaj,Albania
415,Rajcë,Albania
416,Roshnik,Albania
417,Qukës-Skënderbe,Albania
418,Qestorat,Albania
419,Qafëmal,Albania
420,Përrenjas-Fshat,Albania
421,Përrenjas,Albania
422,Proptisht,Albania
423,Progër,Albania
424,Potom,Albania
425,Poroçan,Albania
426,Polis-Gostimë,Albania
427,Poliçan,Albania
428,Pojan,Albania
429,Pogradec,Albania
430,Pishaj,Albania
431,Pirg,Albania
432,Gjinkar,Albania
433,Petran,Albania
434,Peshkopi,Albania
435,Përmet,Albania
436,Ostreni i Math,Albania
437,Orosh,Albania
438,Orenjë,Albania
439,Odrie,Albania
440,Novoselë,Albania
441,Picar,Albania
442,Mollas,Albania
443,Mollas,Albania
444,Mollaj,Albania
445,Miras,Albania
446,Melan,Albania
447,Mborje,Albania
448,Martanesh,Albania
449,Maqellarë,Albania
450,Maliq,Albania
451,Macukull,Albania
452,Lunik,Albania
453,Llugaj,Albania
454,Lis,Albania
455,Liqenas,Albania
456,Librazhd,Albania
457,Libonik,Albania
458,Libohovë,Albania
459,Leskovik,Albania
460,Leshnjë,Albania
461,Lenias,Albania
462,Lekas,Albania
463,Lazarat,Albania
464,Labinot-Mal,Albania
465,Labinot-Fushë,Albania
466,Kushovë,Albania
467,Kurbnesh,Albania
468,Kukur,Albania
469,Kukës,Albania
470,Kthella e Epërme,Albania
471,Krumë,Albania
472,Korçë,Albania
473,Kolsh,Albania
474,Kodovjat,Albania
475,Klos,Albania
476,Klos,Albania
477,Këlcyrë,Albania
478,Kastriot,Albania
479,Kardhiq,Albania
480,Kalis,Albania
481,Iballë,Albania
482,Hotolisht,Albania
483,Hoçisht,Albania
484,Gramsh,Albania
485,Gostimë,Albania
486,Golaj,Albania
487,Gjorica e Sipërme,Albania
488,Gjirokastër,Albania
489,Gjinar,Albania
490,Gjinaj,Albania
491,Gjergjan,Albania
492,Gjegjan,Albania
493,Fushë-Muhurr,Albania
494,Fushë-Lurë,Albania
495,Fushë-Çidhnë,Albania
496,Fushë-Bulqizë,Albania
497,Fushë-Arrëz,Albania
498,Frashër,Albania
499,Fierzë,Albania
500,Fajzë,Albania
501,Ersekë,Albania
502,Elbasan,Albania
503,Drenovë,Albania
504,Dishnicë,Albania
505,Derjan,Albania
506,Gjerbës,Albania
507,Çorovodë,Albania
508,Çlirim,Albania
509,Cerava,Albania
510,Çepan,Albania
511,Çarshovë,Albania
512,Kokaj,Albania
513,Buz,Albania
514,Bushtricë,Albania
515,Burrel,Albania
516,Bulqizë,Albania
517,Bujan,Albania
518,Bradashesh,Albania
519,Blinisht,Albania
520,Blerim,Albania
521,Bilisht,Albania
522,Bicaj,Albania
523,Dardhas,Albania
524,Barmash,Albania
525,Ballaban,Albania
526,Arrën,Albania
527,Arras,Albania
528,Bytyç,Albania
529,Librazhd-Qendër,Albania
530,Funarë,Albania
531,Moglicë,Albania
532,Bogovë,Albania
533,Piskovë,Albania
534,Lukovë,Albania
535,Ksamil,Albania
536,Zharrëz,Albania
537,Zejmen,Albania
538,Zall-Herr,Albania
539,Zall-Bastar,Albania
540,Xhafzotaj,Albania
541,Vukatanë,Albania
542,Vranisht,Albania
543,Vorë,Albania
544,Vlorë,Albania
545,Velipojë,Albania
546,Velabisht,Albania
547,Vaqarr,Albania
548,Ura Vajgurore,Albania
549,Ungrej,Albania
550,Ulëz,Albania
551,Topojë,Albania
552,Tirana,Albania
553,Thumanë,Albania
554,Tërbuf,Albania
555,Synej,Albania
556,Sukth,Albania
557,Strum,Albania
558,Sinjë,Albania
559,Sinaballaj,Albania
560,Shkodër,Albania
561,Shijak,Albania
562,Shezë,Albania
563,Shënkoll,Albania
564,Shëngjin,Albania
565,Shëngjergj,Albania
566,Shalës,Albania
567,Nicaj-Shalë,Albania
568,Sevaster,Albania
569,Selitë,Albania
570,Valbonë,Albania
571,Selenicë,Albania
572,Ruzhdie,Albania
573,Rubik,Albania
574,Rrogozhinë,Albania
575,Rrëshen,Albania
576,Rrashbull,Albania
577,Rrasa e Sipërme,Albania
578,Rrapë,Albania
579,Roskovec,Albania
580,Remas,Albania
581,Qerret,Albania
582,Qelëz,Albania
583,Pukë,Albania
584,Progonat,Albania
585,Prezë,Albania
586,Poshnje,Albania
587,Portëz,Albania
588,Peza e Madhe,Albania
589,Petrelë,Albania
590,Përparim,Albania
591,Perondi,Albania
592,Peqin,Albania
593,Patos Fshat,Albania
594,Patos,Albania
595,Paskuqan,Albania
596,Papër,Albania
597,Pajovë,Albania
598,Otllak,Albania
599,Orikum,Albania
600,Novoselë,Albania
601,Nikël,Albania
602,Nicaj-Shosh,Albania
603,Ngraçan,Albania
604,Ndroq,Albania
605,Milot,Albania
606,Memaliaj,Albania
607,Mbrostar-Urë,Albania
608,Manzë,Albania
609,Mamurras,Albania
610,Maminas,Albania
611,Luzi i Vogël,Albania
612,Lushnjë,Albania
613,Luftinjë,Albania
614,Libofshë,Albania
615,Lezhë,Albania
616,Levan,Albania
617,Lekbibaj,Albania
618,Lekaj,Albania
619,Laç,Albania
620,Kutë,Albania
621,Kutalli,Albania
622,Kurjan,Albania
623,Kuman,Albania
624,Kuçovë,Albania
625,Kuç,Albania
626,Kryevidh,Albania
627,Krutja e Poshtme,Albania
628,Krujë,Albania
629,Krrabë,Albania
630,Krahës,Albania
631,Kozarë,Albania
632,Kotë,Albania
633,Koplik,Albania
634,Kombësi,Albania
635,Kolonjë,Albania
636,Kolç,Albania
637,Kavajë,Albania
638,Katundi i Ri,Albania
639,Kastrat,Albania
640,Kashar,Albania
641,Karinë,Albania
642,Karbunara e Vogël,Albania
643,Kamëz,Albania
644,Kallmeti i Madh,Albania
645,Kallmet,Albania
646,Kalenjë,Albania
647,Kajan,Albania
648,Kaçinar,Albania
649,Ishëm,Albania
650,Hysgjokaj,Albania
651,Hot,Albania
652,Himarë,Albania
653,Helmas,Albania
654,Hekal,Albania
655,Hasan,Albania
656,Hajmel,Albania
657,Gurra e Vogël,Albania
658,Guri i Zi,Albania
659,Gruemirë,Albania
660,Greshicë,Albania
661,Grekan,Albania
662,Gradishtë,Albania
663,Gracen,Albania
664,Grabjan,Albania
665,Gosë e Madhe,Albania
666,Golem,Albania
667,Gjoçaj,Albania
668,Gjepalaj,Albania
669,Fushëkuqe,Albania
670,Fushë-Krujë,Albania
671,Fratar,Albania
672,Frakulla e Madhe,Albania
673,Fier-Shegan,Albania
674,Fier-Çifçi,Albania
675,Fier,Albania
676,Farka e Madhe,Albania
677,Durrës,Albania
678,Drenovë,Albania
679,Divjakë,Albania
680,Dërmënas,Albania
681,Vau i Dejës,Albania
682,Dajt,Albania
683,Dajç,Albania
684,Dajç,Albania
685,Cukalat,Albania
686,Cudhi Zall,Albania
687,Cërrik,Albania
688,Cakran,Albania
689,Bushat,Albania
690,Bubullimë,Albania
691,Bubq,Albania
692,Brataj,Albania
693,Bërzhitë,Albania
694,Bërxull,Albania
695,Bërdica e Madhe,Albania
696,Berat,Albania
697,Belsh,Albania
698,Baz,Albania
699,Banaj,Albania
700,Ballsh,Albania
701,Ballagat,Albania
702,Baldushk,Albania
703,Armen,Albania
704,Aranitas,Albania
705,Allkaj,Albania
706,Golem,Albania
707,Balldreni i Ri,Albania
708,Grudë-Fushë,Albania
709,Fierzë,Albania
710,Dushk,Albania
711,Selitë,Albania
712,Vllahinë,Albania
713,Bajram Curri,Albania
714,Zarrit’ap’,Armenia
715,Zangakatun,Armenia
716,Goravan,Armenia
717,Yeghegnavan,Armenia
718,Yeghegnadzor,Armenia
719,Vostan,Armenia
720,Vosketap’,Armenia
721,Vernashen,Armenia
722,Verishen,Armenia
723,Vedi,Armenia
724,Vayk’,Armenia
725,Tegh,Armenia
726,Surenavan,Armenia
727,Sisavan,Armenia
728,Shinuhayr,Armenia
729,Lusarrat,Armenia
730,Shahumyan,Armenia
731,Shatin,Armenia
732,Shaghat,Armenia
733,Rrind,Armenia
734,Noyakert,Armenia
735,Mrgavan,Armenia
736,Meghri,Armenia
737,Malishka,Armenia
738,Khndzoresk,Armenia
739,Kapan,Armenia
740,Jermuk,Armenia
741,Goris,Armenia
742,Gladzor,Armenia
743,Getap’,Armenia
744,Dzorastan,Armenia
745,Dalar,Armenia
746,Burastan,Armenia
747,Akner,Armenia
748,Brrnakot’,Armenia
749,Berk’anush,Armenia
750,Aygezard,Armenia
751,Aygepat,Armenia
752,Aygavan,Armenia
753,Avshar,Armenia
754,Hats’avan,Armenia
755,Artashat,Armenia
756,Yeghegis,Armenia
757,Armash,Armenia
758,Areni,Armenia
759,Ararat,Armenia
760,Angeghakot’,Armenia
761,Aghavnadzor,Armenia
762,Agarakadzor,Armenia
763,Agarak,Armenia
764,Aralez,Armenia
765,Horrom,Armenia
766,Margara,Armenia
767,Zovuni,Armenia
768,Zovaber,Armenia
769,Zorak,Armenia
770,Zarr,Armenia
771,Yerevan,Armenia
772,Yerazgavors,Armenia
773,Yeraskhahun,Armenia
774,Yeranos,Armenia
775,Yeghegnut,Armenia
776,Yeghegnut,Armenia
777,Vagharshapat,Armenia
778,Yeghvard,Armenia
779,Voskevaz,Armenia
780,Voskevan,Armenia
781,Voskehask,Armenia
782,Verin Getashen,Armenia
783,Verin Dvin,Armenia
784,Verin Artashat,Armenia
785,Akht’ala,Armenia
786,Varser,Armenia
787,Vardenis,Armenia
788,Vardenik,Armenia
789,Vahan,Armenia
790,Vaghashen,Armenia
791,Vahagni,Armenia
792,Ushi,Armenia
793,Urrut,Armenia
794,Tsovinar,Armenia
795,Tsovazard,Armenia
796,Tsovak,Armenia
797,Tsovagyugh,Armenia
798,Tsaghkunk’,Armenia
799,Tsaghkahovit,Armenia
800,Tsaghkaber,Armenia
801,Tsaghkadzor,Armenia
802,Tsovasar,Armenia
803,Tashir,Armenia
804,Tandzut,Armenia
805,T’alin,Armenia
806,Step’anavan,Armenia
807,Spitak,Armenia
808,Spandaryan,Armenia
809,Alashkert,Armenia
810,Solak,Armenia
811,Sis,Armenia
812,Shnogh,Armenia
813,Shirak,Armenia
814,Shenavan,Armenia
815,Shenavan,Armenia
816,Sevan,Armenia
817,Sarukhan,Armenia
818,Sarigyugh,Armenia
819,Saratak,Armenia
820,Saramej,Armenia
821,Sarahart’,Armenia
822,Geghakert,Armenia
823,Ptghni,Armenia
824,Ptghunk’,Armenia
825,P’shatavan,Armenia
826,Prroshyan,Armenia
827,P’ok’r Mant’ash,Armenia
828,Zoravan,Armenia
829,Pemzashen,Armenia
830,Parravak’ar,Armenia
831,Oshakan,Armenia
832,Sardarapat,Armenia
833,Odzun,Armenia
834,Noyemberyan,Armenia
835,Nor Gyugh,Armenia
836,Nor Geghi,Armenia
837,Norashen,Armenia
838,Norashen,Armenia
839,Nor Armavir,Armenia
840,Noramarg,Armenia
841,Norakert,Armenia
842,Noratus,Armenia
843,Nerk’in Getashen,Armenia
844,Navur,Armenia
845,Nalbandyan,Armenia
846,Basen,Armenia
847,Hovtamej,Armenia
848,Mrgashen,Armenia
849,Mrgashat,Armenia
850,Mrganush,Armenia
851,Mosesgegh,Armenia
852,Mets Parni,Armenia
853,Mets Masrik,Armenia
854,Mets Mant’ash,Armenia
855,Metsavan,Armenia
856,Metsamor,Armenia
857,Merdzavan,Armenia
858,Meghrashen,Armenia
859,Meghradzor,Armenia
860,Mayakovski,Armenia
861,Masis,Armenia
862,Martuni,Armenia
863,Marmarashen,Armenia
864,Marmashen,Armenia
865,Margahovit,Armenia
866,Maralik,Armenia
867,Mayisyan,Armenia
868,Madina,Armenia
869,Lukashin,Armenia
870,Lorut,Armenia
871,Lichk’,Armenia
872,Lerrnavan,Armenia
873,Lerrnapat,Armenia
874,Lerrnants’k’,Armenia
875,Lerrnanist,Armenia
876,Lerrnakert,Armenia
877,Khoronk’,Armenia
878,Lchashen,Armenia
879,Lchap’,Armenia
880,Lanjaghbyur,Armenia
881,Kotayk’,Armenia
882,Kosh,Armenia
883,Vanadzor,Armenia
884,Hnaberd,Armenia
885,Khasht’arrak,Armenia
886,Kasakh,Armenia
887,Karchaghbyur,Armenia
888,Karbi,Armenia
889,Karanlukh,Armenia
890,Kaputan,Armenia
891,K’anak’erravan,Armenia
892,Kamo,Armenia
893,Gavarr,Armenia
894,Mayisyan,Armenia
895,Shahumyan,Armenia
896,Ijevan,Armenia
897,Hrazdan,Armenia
898,Armavir,Armenia
899,Hayanist,Armenia
900,Haghartsin,Armenia
901,Gyumri,Armenia
902,Gyulagarak,Armenia
903,Ghukasavan,Armenia
904,Geghamasar,Armenia
905,Gugark’,Armenia
906,Tsiatsan,Armenia
907,Goght’,Armenia
908,Gogaran,Armenia
909,Getazat,Armenia
910,Getashen,Armenia
911,Geghanist,Armenia
912,Geghamavan,Armenia
913,Garrni,Armenia
914,Gagarin,Armenia
915,Fantan,Armenia
916,Fioletovo,Armenia
917,Dzoraghbyur,Armenia
918,Dzoragyugh,Armenia
919,Dzit’hank’ov,Armenia
920,Jrashen,Armenia
921,Jrashen,Armenia
922,Jrahovit,Armenia
923,Janfida,Armenia
924,Dvin,Armenia
925,Dsegh,Armenia
926,Drakhtik,Armenia
927,Doghs,Armenia
928,Dilijan,Armenia
929,Ddmashen,Armenia
930,Darpas,Armenia
931,Dalarik,Armenia
932,Chochkan,Armenia
933,Chambarak,Armenia
934,Bjni,Armenia
935,Byureghavan,Armenia
936,Byurakan,Armenia
937,Buzhakan,Armenia
938,Berd,Armenia
939,Bazum,Armenia
940,Byuravan,Armenia
941,Bambakashat,Armenia
942,Balahovit,Armenia
943,Bagratashen,Armenia
944,Azatan,Armenia
945,Haykavan,Armenia
946,Aygestan,Armenia
947,Aygeshat,Armenia
948,Aygeshat,Armenia
949,Aknalich,Armenia
